licence_number,designation,name,dba,status,structure,city,phone
A10-17-0000029-TEMP,Adult-Use,"Desert's Finest Patients' Cooperative, Inc",,Active,Corporation,"Desert Hot
Springs",8334385874
A10-17-0000030-TEMP,"Adult-Use
Medicinal",Desert Organic Solutions Collective,,Active,Corporation,NORTH PALM SPRINGS,7602884000
A10-17-0000031-TEMP,"Adult-Use
Medicinal",VALLEY PURE,Valley Pure,Active,"Limited Liability
Company",woodlake,5596901898
A10-17-0000032-TEMP,"Adult-Use
Medicinal","GSG PL, INC.",,Active,Corporation,San Diego,6192688035
A10-17-0000033-TEMP,"Adult-Use
Medicinal",REVOLUTION EMPORIUM,retail cannabis dispensary,Active,"General
Partnership",ukiah,744840248
A10-17-0000034-TEMP,"Adult-Use
Medicinal",H.O.T.N. CLUB,HOTN Cultivation Co.,Active,Corporation,Cathedral City,7608327614
A10-17-0000036-TEMP,"Adult-Use
Medicinal",KGMB LLC,TreeHouse,Active,"Limited Liability
Company",Soquel,8318182956
A10-17-0000037-TEMP,"Adult-Use
Medicinal","Tim and Mike Enterprises, LLC",The Queen of Dragons,Active,"Limited Liability
Company",Shasta Lake,5302769771
A10-17-0000038-TEMP,"Adult-Use
Medicinal","MMOF San Diego Retail, Inc.",Apothekare,Active,Corporation,San Diego,6198509266
A10-17-0000039-TEMP,"Adult-Use
Medicinal",Farmacy Collective,MedMen WeHo,Active,Corporation,West Hollywood,3234862787
A10-17-0000040-TEMP,"Adult-Use
Medicinal",Green Cross Society of Southern California,,Active,Corporation,WEST HOLLYWOOD,3236548792
A10-17-0000041-TEMP,"Adult-Use
Medicinal","Patients Mutual Assistance Collective
Corporation",Harborside,Active,Corporation,OAKLAND,5103442933
A10-17-0000042-TEMP,"Adult-Use
Medicinal",Gravenstein 116 LLC,Solful,Active,"Limited Liability
Company",Sebastopol,4157943363
A10-17-0000043-TEMP,"Adult-Use
Medicinal",BI Supportive Services,"Therapeutic Healthcare
Collective",Active,"Limited Liability
Company",SOQUEL,8313361910
A10-17-0000044-TEMP,"Adult-Use
Medicinal","MNat, Inc.",Santa Cruz Naturals,Active,Corporation,APTOS,8316887266
A10-17-0000045-TEMP,"Adult-Use
Medicinal","Canna Culture Collective, Inc.",Canna Culture,Active,Corporation,San Jose,5302773389
A10-17-0000047-TEMP,"Adult-Use
Medicinal",Creekside Wellness,,Active,Corporation,BOULDER CREEK,8015609466
A10-17-0000048-TEMP,"Adult-Use
Medicinal",Emerald Pharms,,Active,Corporation,HOPLAND,9164200173
A10-17-0000049-TEMP,"Adult-Use
Medicinal",ECSD MANAGEMENT LLC,,Active,"Limited Liability
Company",SAN DIEGO,6197724141
A10-17-0000052-TEMP,"Adult-Use
Medicinal",Mercy Wellness,Mercy Wellness,Active,Corporation,COTATI,7077951600
A10-17-0000055-TEMP,"Adult-Use
Medicinal",Healthy Healing Holistic Options,ShowGrow,Active,Corporation,SANTA ANA,9495654769
A10-17-0000056-TEMP,"Adult-Use
Medicinal",Central Coast Wellness LLC,Central Coast Welness center LLC,Active,"Limited Liability
Company",BEN LOMOND,5596901898
A10-17-0000058-TEMP,"Adult-Use
Medicinal","Love In It Cooperative, Inc",,Active,Corporation,MENDOCINO,7079373123
A10-17-0000059-TEMP,"Adult-Use
Medicinal",Peoples' First Choice LLC,,Active,"Limited Liability
Company",SANTA ANA,7144857379
A10-17-0000060-TEMP,"Adult-Use
Medicinal","Therapeutic Hemp, Inc.",420 Central,Active,Corporation,SANTA ANA,9494342125
A10-17-0000061-TEMP,"Adult-Use
Medicinal",SOAR Collective Mutual Benefit Corporation,OC3,Active,Corporation,SANTA ANA,7146428320
A10-17-0000063-TEMP,"Adult-Use
Medicinal",EAST OF EDEN CANNABIS CO.,EAST OF EDEN,Active,Corporation,SALINAS,3126360404
A10-17-0000064-TEMP,"Adult-Use
Medicinal","55 OC Collective, Inc.",Blum Santa Ana,Active,Corporation,SANTA ANA,7074776790
A10-17-0000065-TEMP,"Adult-Use
Medicinal",Leave it to Nature,Leave it to Nature,Active,Corporation,Shasta Lake,5302279298
A10-17-0000066-TEMP,"Adult-Use
Medicinal","PDEE, INC",All About Wellness,Active,Corporation,SACRAMENTO,9164544327
A10-17-0000067-TEMP,Adult-Use,Redwood Coast Lifestyles Inc.,Redwood Coast Collective,Active,Corporation,Ben Lomond,8313368795
A10-17-0000068-TEMP,"Adult-Use
Medicinal",The Source Santa Ana,MedMen OC,Active,Corporation,Santa Ana,3234862787
A10-17-0000069-TEMP,"Adult-Use
Medicinal",CBD Inc,From The Earth,Active,Corporation,SANTA ANA,9497849032
A10-17-0000073-TEMP,"Adult-Use
Medicinal",Higher Level of Care,Higher Level,Active,Corporation,Castroville,3102614809
A10-17-0000074-TEMP,"Adult-Use
Medicinal",Responsible Patient Care,SPARC,Active,Corporation,SEBASTOPOL,7073871517
A10-17-0000075-TEMP,"Adult-Use
Medicinal",The Richmond Patient's Group,Green Remedy,Active,Corporation,Richmond,4153284102
A10-17-0000076-TEMP,"Adult-Use
Medicinal",The Green Heart Collective. org,The Green Heart,Active,Corporation,MOUNT SHASTA,5309410291
A10-17-0000080-TEMP,"Adult-Use
Medicinal","Migliore, LLC",Abatin Wellness Center,Active,"Limited Liability
Company",SACRAMENTO,3107410888
A10-17-0000081-TEMP,"Adult-Use
Medicinal",BSCB Enterprises LLC,Big Sur Cannabotanicals,Active,"Limited Liability
Company",CARMEL,8312507756
A10-17-0000082-TEMP,"Adult-Use
Medicinal","SCSA GROUP, INC.",,Active,Corporation,SANTA ANA,7146865001
A10-17-0000083-TEMP,"Adult-Use
Medicinal",Green Rose Green Leaf Care,The Joint,Active,Corporation,SANTA ANA,7147674806
A10-17-0000084-TEMP,"Adult-Use
Medicinal",Zen Healing Collective Corporation,,Active,Corporation,West Hollywood,3236566666
A10-17-0000087-TEMP,"Adult-Use
Medicinal",Monex Place Wellness,Strain Station,Active,Corporation,santa ana,9492932370
A10-17-0000088-TEMP,"Adult-Use
Medicinal","HnHPC, a nonprofit mutual benefit corp",Connected Santa Ana,Active,Corporation,SANTA ANA,6572294464
A10-17-0000089-TEMP,"Adult-Use
Medicinal",Curbstone Exchange LLC,,Active,"Limited Liability
Company",FELTON,8313317886
A10-17-0000091-TEMP,"Adult-Use
Medicinal",River City Phoenix,,Active,Corporation,SACRAMENTO,9167084095
A10-17-0000092-TEMP,"Adult-Use
Medicinal",Sacramento Community Cannabis Collective,Connected Sacramento,Active,Corporation,SACRAMENTO,9164751857
A10-17-0000093-TEMP,"Adult-Use
Medicinal","Valley Health Options Collective, Inc.",,Active,Corporation,SACRAMENTO,9165243194
A10-17-0000094-TEMP,"Adult-Use
Medicinal",GOLDEN HEALTH & WELLNESS,,Active,Corporation,Sacramento,9166466340
A10-17-0000095-TEMP,"Adult-Use
Medicinal",ALTERNATIVE MEDICAL CENTER,AMC,Active,Corporation,Sacramento,9165641100
A10-18-0000097-TEMP,"Adult-Use
Medicinal","420 Green Street, Inc.",10 Spot,Active,Corporation,SANTA ANA,7147179896
A10-18-0000098-TEMP,"Adult-Use
Medicinal",2015 Halladay Wellness Inc.,Super Clinik Yale,Active,Corporation,SANTA ANA,7147179896
A10-18-0000099-TEMP,"Adult-Use
Medicinal",BUD AND BLOOM,,Active,Corporation,SANTA ANA,7145762150
A10-18-0000101-TEMP,"Adult-Use
Medicinal","PACAFI COOPERATIVE, INC.",Flavors,Active,Corporation,RIVERBANK,2095540801
A10-18-0000102-TEMP,"Adult-Use
Medicinal","PSGC, Inc.",Atomic Budz,Active,Corporation,CATHEDRAL CITY,7603224481
A10-18-0000104-TEMP,"Adult-Use
Medicinal",Northeastern Management Inc,,Active,Corporation,SANTA CRUZ,4087695552
A10-18-0000105-TEMP,"Adult-Use
Medicinal","STPC ENTERPRISES, INC.",Evergreen,Active,Corporation,SANTA ANA,7148011356
A10-18-0000106-TEMP,"Adult-Use
Medicinal",EMERALD SKYWAY,,Active,"Limited Liability
Company",SALINAS,8315660758
A10-18-0000108-TEMP,"Adult-Use
Medicinal","UPROOTED, INC.",Southwest Patient Group,Active,Corporation,SAN DIEGO,6196636337
A10-18-0000109-TEMP,"Adult-Use
Medicinal",OGC Systems Inc,New Generation,Active,Corporation,santa ana,9518182245
A10-18-0000110-TEMP,"Adult-Use
Medicinal","Halladay Healing Group, Inc.",Super Clinik,Active,Corporation,SANTA ANA,7147171480
A10-18-0000112-TEMP,Adult-Use,WE ARE HEMP,,Active,"General
Partnership",HAYWARD,5108780341
A10-18-0000113-TEMP,"Adult-Use
Medicinal",Balboa Avenue Cooperative,,Active,Corporation,SAN DIEGO,6197502024
A10-18-0000118-TEMP,"Adult-Use
Medicinal",Sacramento Commercial Services,Florin Wellness Center,Active,Corporation,Sacramento,9167060563
A10-18-0000120-TEMP,"Adult-Use
Medicinal",Community Roots United,Grass Roots,Active,Corporation,SAN FRANCISCO,4158270650
A10-18-0000121-TEMP,"Adult-Use
Medicinal","Harvest on Geary, Inc.",,Active,Corporation,SAN FRANCISCO,4156408250
A10-18-0000122-TEMP,"Adult-Use
Medicinal","RHMT, LLC",The Apothecarium,Active,"Limited Liability
Company",SAN FRANCISCO,4157469001
A10-18-0000123-TEMP,"Adult-Use
Medicinal",JAZDALE INVESTMENTS LLC,Releaf Herbal Cooperative,Active,"Limited Liability
Company",SAN FRANCISCO,4157161027
A10-18-0000124-TEMP,"Adult-Use
Medicinal","Bay Area Green Cross Dispensary, Inc.",The Green Cross,Active,Corporation,SAN FRANCISCO,4158467671
A10-18-0000125-TEMP,"Adult-Use
Medicinal",Loud Inc.,"San Diego Recreational
Cannabis (SDRC)",Active,Corporation,SAN DIEGO,6196188139
A10-18-0000126-TEMP,"Adult-Use
Medicinal",Higher Level of Care Seaside,Higher Level,Active,Corporation,Seaside,3102614809
A10-18-0000127-TEMP,"Adult-Use
Medicinal","C9 Alliance Cooperative, Inc.",Cloud 9,Active,Corporation,Sacramento,9163878605
A10-18-0000128-TEMP,"Adult-Use
Medicinal","Shambahla Healing Center, Inc.",Mission Cannabis Club,Active,Corporation,San Francisco,4155098664
A10-18-0000129-TEMP,"Adult-Use
Medicinal",Hugs Alternative Care,,Active,Corporation,SACRAMENTO,9167084095
A10-18-0000130-TEMP,"Adult-Use
Medicinal",CC101,,Active,Corporation,SACRAMENTO,9163876233
A10-18-0000132-TEMP,"Adult-Use
Medicinal","Howard Street Partners, LLC",The Apothecarium,Active,"Limited Liability
Company",San Francisco,4157469001
A10-18-0000134-TEMP,"Adult-Use
Medicinal",Safe Accessible Solutions,,Active,Corporation,Sacramento,9163869840
A10-18-0000136-TEMP,"Adult-Use
Medicinal","HERBAL COOPERATIVE, INC.",Lakeside Herbal Solutions,Active,Corporation,CLEARLAKE,7079943721
A10-18-0000137-TEMP,"Adult-Use
Medicinal","DEEP THOUGHT, LLC",The Apothecarium,Active,"Limited Liability
Company",San Francisco,4159283300
A10-18-0000138-TEMP,"Adult-Use
Medicinal",My Golden Green Inc.,"The Humboldt County
Collective",Active,Corporation,eureka,7074422420
A10-18-0000139-TEMP,"Adult-Use
Medicinal",Purple Star MD Collective,Purple Star MD,Active,Corporation,san francisco,4153148157
A10-18-0000140-TEMP,Adult-Use,"BCSF, Inc.",,Active,Corporation,SAN FRANCISCO,4152434400
A10-18-0000141-TEMP,"Adult-Use
Medicinal",San Francisco Foundation on Going Green,"Medical Cannabis
Dispensary",Active,Corporation,SAN FRANCISCO,4158964271
A10-18-0000142-TEMP,"Adult-Use
Medicinal",MIPARC,SPARC,Active,Corporation,San Francisco,7073871517
A10-18-0000143-TEMP,"Adult-Use
Medicinal","Good Living Mgmt II, Inc.",Harvest off Mission,Active,Corporation,SAN FRANCISCO,4156408250
A10-18-0000144-TEMP,"Adult-Use
Medicinal",Metro Health Systems,Green Door Metro,Active,Corporation,SACRAMENTO,5108121600
A10-18-0000145-TEMP,"Adult-Use
Medicinal","Compassionate Heart Mutual Benefit
Association",,Active,"Sole
Proprietorship",Ukiah,7074625100
A10-18-0000147-TEMP,"Adult-Use
Medicinal","P.S.A.C., INC.",Zen Garden Wellness,Active,Corporation,SACRAMENTO,4158904480
A10-18-0000148-TEMP,"Adult-Use
Medicinal",Mama N Pops Inc,515 Broadway,Active,Corporation,SACRAMENTO,9168656474
A10-18-0000149-TEMP,Adult-Use,Septem Coma Inc.,"South Sacramento Care
Center",Active,Corporation,SACRAMENTO,9163931820
A10-18-0000150-TEMP,"Adult-Use
Medicinal","Perchta, Inc. A California Mutual Benefit Corp.",House of Organics,Active,Corporation,SACRAMENTO,9163813769
A10-18-0000151-TEMP,"Adult-Use
Medicinal","SB License 01, LLC",Captain Jacks,Active,"Limited Liability
Company",SAN BERNARDINO,9093816400
A10-18-0000153-TEMP,"Adult-Use
Medicinal","R & S NURSERY, INC.",The Healing Flower,Active,Corporation,MODESTO,4086905351
A10-18-0000154-TEMP,"Adult-Use
Medicinal",710 SF Inc.,Pure 710SF,Active,Corporation,SAN FRANCISCO,4156545275
A10-18-0000155-TEMP,"Adult-Use
Medicinal",Seventy Second Street,Flower Power SF,Active,Corporation,SAN FRANCISCO,5103681262
A10-18-0000157-TEMP,"Adult-Use
Medicinal","The Leonard Moore Cooperative, Inc.",,Active,Corporation,Mendocino,7079374562
A10-18-0000158-TEMP,Adult-Use,Iguana Collective,Iguana Collective,Active,Corporation,CATHEDRAL CITY,7606998340
A10-18-0000161-TEMP,Adult-Use,OCP,,Active,"Sole
Proprietorship",OAKLAND,4152057450
A10-18-0000162-TEMP,"Adult-Use
Medicinal","JDI FARMS, INC.",Empire Health and Wellness,Active,Corporation,MODESTO,2092168966
A10-18-0000163-TEMP,"Adult-Use
Medicinal","Doc's Cooperative, Inc.",Doctor's Orders,Active,Corporation,SACRAMENTO,9165642112
A10-18-0000164-TEMP,"Adult-Use
Medicinal","Cyon Corporation, Inc.",MedMen Beverly Hills,Active,Corporation,LOS ANGELES,3234862787
A10-18-0000165-TEMP,"Adult-Use
Medicinal",THE COMPASSION NETWORK,MedMen Venice,Active,Corporation,VENICE,3234862787
A10-18-0000166-TEMP,"Adult-Use
Medicinal",THE HIGHER PATH PATIENTS' ASSOCIATION,THE HIGHER PATH,Active,Corporation,SHERMAN OAKS,8183851224
A10-18-0000167-TEMP,"Adult-Use
Medicinal",Advanced Patients' Collective,MedMen DTLA,Active,Corporation,Los Angeles,3234862787
A10-18-0000168-TEMP,"Adult-Use
Medicinal","MSTMA, INC.",Cookies SF,Active,Corporation,SAN FRANCISCO,4157695001
A10-18-0000169-TEMP,Adult-Use,1L Tree Lounge LLC,,Active,"Limited Liability
Company",GARBERVILLE,4153024688
A10-18-0000170-TEMP,"Adult-Use
Medicinal",Bay Area Safe Alternatives Collective Inc,Basa Inc,Active,Corporation,San Francisco,4157972286
A10-18-0000172-TEMP,"Adult-Use
Medicinal","LIZBOR, INC.",WHTC,Active,Corporation,STUDIO CITY,8182665144
A10-18-0000173-TEMP,"Adult-Use
Medicinal","Perennial Holistic Wellness Center, Inc.","Perennial Holistic Wellness
Center",Active,Corporation,Studio City,3107386100
A10-18-0000174-TEMP,"Adult-Use
Medicinal","DOWNTOWN COLLECTIVE, INC.",ZEN NOHO,Active,Corporation,NORTH HOLLYWOOD,8184873737
A10-18-0000175-TEMP,"Adult-Use
Medicinal","Welcome The Healing Touch, Inc.",,Active,Corporation,ENCINO,8188811462
A10-18-0000177-TEMP,"Adult-Use
Medicinal","Sonoma Patient Group, Inc.",,Active,Corporation,SANTA ROSA,7075262800
A10-18-0000178-TEMP,"Adult-Use
Medicinal",Responsible Patient Care,SPARC,Active,Corporation,Santa Rosa,7073871517
A10-18-0000179-TEMP,"Adult-Use
Medicinal","Therapeutic Health Collective, Inc.",Stone Age Farmacy,Active,Corporation,GARDENA,3106342542
A10-18-0000180-TEMP,"Adult-Use
Medicinal",RELIEF CCR,BEVERLY HILLS ALTERNATIVE RELIEF CENTER,Active,Corporation,LOS ANGELES,3107219113
A10-18-0000181-TEMP,"Adult-Use
Medicinal","DPC SF, LLC",Dutchman's Flat,Active,"Limited Liability
Company",SAN FRANCISCO,4152036277
A10-18-0000182-TEMP,"Adult-Use
Medicinal","ORGANIC GREEN TREATMENT CENTER, INC.",,Active,Corporation,LOS ANGELES,3237333644
A10-18-0000183-TEMP,"Adult-Use
Medicinal","Koreatown Collective, LLC",,Active,"Limited Liability
Company",LOS ANGELES,3239519513
A10-18-0000184-TEMP,"Adult-Use
Medicinal","PURA VIDA TRES, INC.",PURE LIFE WELLNESS CENTER,Active,Corporation,LOS ANGELES,3102469345
A10-18-0000185-TEMP,"Adult-Use
Medicinal","NATURE'S NATURAL COOPERATIVE CARE, INC.",NEW AMSTERDAM NATURALS,Active,Corporation,LOS ANGELES,3102026622
A10-18-0000186-TEMP,"Adult-Use
Medicinal",Alternatives a Health Collective,"Alternatives a Health
Collective",Active,Corporation,SANTA ROSA,4152508888
A10-18-0000187-TEMP,"Adult-Use
Medicinal",Remedy Inc.,,Active,Corporation,CATHEDRAL CITY,2604506544
A10-18-0000188-TEMP,"Adult-Use
Medicinal",The Pottery,,Active,Corporation,LOS ANGELES,3234529833
A10-18-0000189-TEMP,"Adult-Use
Medicinal","Melrose Herbal Collective, Inc.",,Active,Corporation,LOS ANGELES,3232324420
A10-18-0000190-TEMP,"Adult-Use
Medicinal",Delta 9 THC LLC,,Active,"Limited Liability
Company",WILMINGTON,3104089621
A10-18-0000191-TEMP,Adult-Use,"D & M COMPASSION CENTER, LLC",D & M COMPASSION CENTER,Active,"Limited Liability
Company",CLEARLAKE,7075305681
A10-18-0000192-TEMP,"Adult-Use
Medicinal","HT, Inc",High Tides,Active,Corporation,GUALALA,7078841882
A10-18-0000194-TEMP,"Adult-Use
Medicinal",Cornerstone Research Collective,,Active,Corporation,LOS ANGELES,3232598933
A10-18-0000195-TEMP,"Adult-Use
Medicinal","Herbal Pain Relief Center Cooperative, INC",,Active,Corporation,MISSION HILLS,8186396027
A10-18-0000196-TEMP,"Adult-Use
Medicinal","The Green Earth Farmacie, Inc.",,Active,Corporation,VAN NUYS,8189941945
A10-18-0000198-TEMP,"Adult-Use
Medicinal","Los Angeles Valley Caregivers, Inc.",,Active,Corporation,LOS ANGELES,3235001040
A10-18-0000199-TEMP,"Adult-Use
Medicinal","HOLISTIC PAIN RELIEF, INC.",,Active,Corporation,LOS ANGELES,3237788540
A10-18-0000200-TEMP,"Adult-Use
Medicinal","CALIFORNIA'S FINEST COMPASSIONATE COOPERATIVE, INC.",COAST TO COAST AND 3C MEDICAL,Active,Corporation,Canoga Park,8187120535
A10-18-0000201-TEMP,"Adult-Use
Medicinal",NATURAL REMEDIES CAREGIVERS,,Active,Corporation,LOS ANGELES,3107956449
A10-18-0000203-TEMP,"Adult-Use
Medicinal","Studio City Caregivers Co-op, Inc.",Universal Collective,Active,Corporation,Los Angeles,6262156093
A10-18-0000204-TEMP,"Adult-Use
Medicinal","Healthy Herbal Care, Inc.",HHC,Active,Corporation,VAN NUYS,8184538085
A10-18-0000206-TEMP,"Adult-Use
Medicinal","THE GREEN GODDESS, INC.",Green Goddess Collective,Active,Corporation,VENICE,3103967770
A10-18-0000207-TEMP,"Adult-Use
Medicinal",Green Earth Vitality Corporation,Green Earth Collective,Active,Corporation,Los Angeles,3109718170
A10-18-0000208-TEMP,"Adult-Use
Medicinal","MMD, INC.",,Active,Corporation,HOLLYWOOD,8774205874
A10-18-0000209-TEMP,"Adult-Use
Medicinal",Sunshine Holistic,Sovereign,Active,Corporation,FORT BRAGG,7072231129
A10-18-0000210-TEMP,"Adult-Use
Medicinal","Elevated Systems, Inc.",Elevated San Francisco,Active,Corporation,SAN FRANCISCO,4158255123
A10-18-0000212-TEMP,"Adult-Use
Medicinal","City Compassionate Caregivers Cooperative, Inc.",,Active,Corporation,LOS ANGELES,9099362236
A10-18-0000213-TEMP,"Adult-Use
Medicinal","California Compassionate Care Network, Inc.",,Active,Corporation,NORTH HOLLYWOOD,8189806337
A10-18-0000214-TEMP,"Adult-Use
Medicinal",AHPS - Absolute Herbal Pain Solutions,,Active,Corporation,LOS ANGELES,9092415504
A10-18-0000215-TEMP,"Adult-Use
Medicinal","NATURE'S CURE, INC.",MedMen LAX,Active,Corporation,LOS ANGELES,3234862787
A10-18-0000216-TEMP,"Adult-Use
Medicinal","Safe Capitol Compassion Cooperative, Inc.",,Active,"Limited Liability
Company",SACRAMENTO,9162543287
A10-18-0000217-TEMP,"Adult-Use
Medicinal",Kushism Inc.,,Active,Corporation,VAN NUYS,8189943446
A10-18-0000218-TEMP,"Adult-Use
Medicinal","So Cal Co-Op, Inc.",,Active,Corporation,LOS ANGELES,8189144736
A10-18-0000219-TEMP,"Adult-Use
Medicinal","BOO KU C.C., INC.",Exhalence,Active,Corporation,SUN VALLEY,8183949094
A10-18-0000220-TEMP,"Adult-Use
Medicinal","Jason Lilly, LLC",Kannabis Works,Active,"Limited Liability
Company",SANTA ANA,9497420768
A10-18-0000221-TEMP,"Adult-Use
Medicinal","The Wellness Earth Energy Dispensary, Inc.",,Active,Corporation,STUDIO CITY,7143506534
A10-18-0000222-TEMP,"Adult-Use
Medicinal",Compassionate Patient Resources,CPR,Active,Corporation,Northridge,8189964277
A10-18-0000223-TEMP,"Adult-Use
Medicinal","ALTERNATIVE MEDICINE GROUP, INC.",AMG,Active,Corporation,LOS ANGELES,3104760222
A10-18-0000225-TEMP,"Adult-Use
Medicinal","CRUZ VERDE, INC.",Green Cross of Torrance,Active,Corporation,TORRANCE,3105339363
A10-18-0000226-TEMP,Adult-Use,"Shatter, LLC",,Active,"Limited Liability
Company",SAN BERNARDINO,9092641855
A10-18-0000227-TEMP,Adult-Use,Leef Industries LLC,Leef Industries,Active,"Limited Liability
Company",PALM SPRINGS,9498920682
A10-18-0000228-TEMP,Adult-Use,"Lotus Dispensary, LLC",,Active,"Limited Liability
Company",SAN BERNARDINO,9094301244
A10-18-0000229-TEMP,"Adult-Use
Medicinal","Compassionate Care Patients Collective, Inc",The Green Door,Active,Corporation,SAN FRANCISCO,5109318180
A10-18-0000230-TEMP,"Adult-Use
Medicinal","DTPG Collective, Inc.",,Active,Corporation,Los Angeles,3236024211
A10-18-0000231-TEMP,"Adult-Use
Medicinal",Canna Corn Collective,Medallion Wellness,Active,Corporation,MODESTO,2092487472
A10-18-0000234-TEMP,"Adult-Use
Medicinal",Urban Flowers,Urban Pharm,Active,Corporation,SAN FRANCISCO,9168335343
A10-18-0000236-TEMP,"Adult-Use
Medicinal",New Age Compassion Care Center Corp.,New Age Care Center,Active,Corporation,LOS ANGELES,3106919493
A10-18-0000239-TEMP,"Adult-Use
Medicinal","New Apothecary, Inc.",Apothecary 420,Active,Corporation,Los Angeles,8189050420
A10-18-0000240-TEMP,"Adult-Use
Medicinal","MEDICAL CAREGIVERS COOPERATIVE, INC.",,Active,Corporation,LOS ANGELES,3235762153
A10-18-0000241-TEMP,"Adult-Use
Medicinal",AFTER CARE PATIENT'S GROUP,AFTER CARE & THE LOFT,Active,Corporation,WOODLAND HILLS,8188845638
A10-18-0000242-TEMP,"Adult-Use
Medicinal","PATIENTS AND CAREGIVERS LOS ANGELES, INC.",,Active,Corporation,LOS ANGELES,8184721082
A10-18-0000245-TEMP,"Adult-Use
Medicinal","Barr Corporation, A Consumer Cooperative","California Caregivers
Alliance",Active,Corporation,LOS ANGELES,2133530100
A10-18-0000246-TEMP,"Adult-Use
Medicinal","CANNA HEALTHCARE, INC.",Cloud 8th DTLA,Active,Corporation,LOS ANGELES,2132751223
A10-18-0000247-TEMP,Adult-Use,Sun Grow Consulting,,Active,Corporation,DESERT HOT SPRINGS,7142314435
A10-18-0000248-TEMP,"Adult-Use
Medicinal",GREEN DOT MEDICINAL CANNABIS PATIENTS' GROUP,,Active,Corporation,LOS ANGELES,3105788300
A10-18-0000249-TEMP,"Adult-Use
Medicinal",RDC COLLECTIVE CORP,,Active,Corporation,TARZANA,8187570434
A10-18-0000250-TEMP,"Adult-Use
Medicinal","San Fernando Valley Medical Supply, Inc.",SFVDM,Active,Corporation,Van Nuys,8189089951
A10-18-0000251-TEMP,"Adult-Use
Medicinal",California Patients Alliance,"Los Angeles Kush Collective
#2",Active,Corporation,LOS ANGELES,5625771318
A10-18-0000252-TEMP,Adult-Use,"LAX CC, INC.","LAX CC, INC.",Active,Corporation,LOS ANGELES,3104399189
A10-18-0000253-TEMP,"Adult-Use
Medicinal","Toluca Lake Collective, Inc.",,Active,Corporation,LOS ANGELES,6268904625
A10-18-0000254-TEMP,"Adult-Use
Medicinal",DELTA HEALTH & WELLNESS,,Active,Corporation,SACRAMENTO,9162319934
A10-18-0000256-TEMP,"Adult-Use
Medicinal","The Van Nuys Group, LLC",The Green Easy,Active,"Limited Liability
Company",LOS ANGELES,3234243035
